#,Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Vinc. Org.,Vinc. Prog.,Vinc. Eco.,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A13212000,A,132,12000,SUELDOS DEL GRUPO A1,0,1,1,58000,-29000,29000,15330.06
A13212001,A,132,12001,SUELDOS DEL GRUPO A2,0,1,1,25000,-24000,1000,0
A13212003,A,132,12003,SUELDOS DEL GRUPO C1,0,1,1,79000,-36376.66,42623.34,38878.49
A13212004,A,132,12004,SUELDOS DEL GRUPO C2,0,1,1,552000,0,552000,786318.88
A13212006,A,132,12006,TRIENIOS,0,1,1,93000,0,93000,110774.02
A13212100,A,132,12100,COMPLEMENTO DE DESTINO,0,1,1,445000,0,445000,411716.15
A13212101,A,132,12101,COMPLEMENTO ESPECÍFICO,0,1,1,1409000,0,1409000,1154001.96
A13212103,A,132,12103,OTROS COMPLEMENTOS,0,1,1,25000,0,25000,18760
A13215000,A,132,15000,PRODUCTIVIDAD,0,1,1,318000,0,318000,330795.6
A13215200,A,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,1,1,108000,0,108000,150063.16
A13215300,A,132,15300,COMPLEMENTO DEDICACION ESPECIAL,0,1,1,28000,0,28000,31592.6
A13216000,A,132,16000,SEGURIDAD SOCIAL,0,1,1,905000,-117040,787960,764889.03
A13216200,A,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,1,1,7000,0,7000,8220.33
A13216204,A,132,16204,ACCIÓN SOCIAL,0,1,1,18000,0,18000,31439.08
A13216205,A,132,16205,SEGUROS,0,1,1,8500,0,8500,6885.97
A13216209,A,132,16209,OTROS GASTOS SOCIALES,0,1,1,7500,0,7500,6189.87
A13220400,A,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,A,132,204,30000,0,30000,10043.41
A13220600,A,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,132,206,8000,0,8000,3589.5
A13221200,A,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,132,212,1000,0,1000,225.36
A13221300,A,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,A,132,213,3000,-2990,10,0
A13221400,A,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,A,132,214,24000,0,24000,18471.5
A13222100,A,132,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,132,221,4000,0,4000,0
A13222101,A,132,22101,SUMINISTROS: AGUA,A,132,221,1000,0,1000,5404.08
A13222103,A,132,22103,COMBUSTIBLES Y CARBURANTES,A,132,221,22000,0,22000,22048.33
A13222104,A,132,22104,VESTUARIO,A,132,221,40000,-20000,20000,18300.1
A13222115,A,132,22115,UTILES SEGURIDAD VIAL,A,132,221,18000,-12000,6000,3331.86
A13222118,A,132,22118,UTILES,A,132,221,6000,0,6000,3049.2
A13222200,A,132,22200,SERVICIOS DE TELECOMUNICACIONES,A,132,222,10000,0,10000,7740.77
A13222201,A,132,22201,POSTALES,A,132,222,7000,0,7000,9039.84
A13222637,A,132,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,A,132,226,14000,-3000,11000,8179.87
A13222715,A,132,22715,CONTRATOS SERVICIO RETIRADA VEHICULOS VIA PUBLICA,A,132,227,12000,0,12000,8529.16
A13222719,A,132,22719,MANTENIMIENTO CLIMATIZACION,A,132,227,5000,0,5000,6138.96
